run_id,config_id,combo_index,seed_repeat,seed,status,training_params.seed,best_epoch,best_step,mp,mr,map50,map,f1,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay
run_030,cfg015,15,2,762290846,success,762290846,101,,0.46577855959361686,0.4843842362468475,0.4100413158890988,0.20621729115093204,0.47489923376623666,head_and_last_stage,1e-05,0.0
run_031,cfg016,16,1,1040432676,success,1040432676,101,,0.46577855959361686,0.4843842362468475,0.4100413158890988,0.20621729115093204,0.47489923376623666,head_and_last_stage,1e-05,0.001
run_032,cfg016,16,2,1791807031,success,1791807031,101,,0.46577855959361686,0.4843842362468475,0.4100413158890988,0.20621729115093204,0.47489923376623666,head_and_last_stage,1e-05,0.001
run_033,cfg017,17,1,1914551327,success,1914551327,334,,0.8907903794384061,0.8009259259259259,0.8838654200918263,0.4260157620799273,0.8434713399584578,neck_head,0.01,0.0
run_034,cfg017,17,2,6815572,success,6815572,334,,0.8907903794384061,0.8009259259259259,0.8838654200918263,0.4260157620799273,0.8434713399584578,neck_head,0.01,0.0
run_035,cfg018,18,1,259995964,success,259995964,385,,0.8838629308457865,0.8194444444444444,0.8845683434348285,0.4129726279438561,0.8504355453854034,neck_head,0.01,0.001
run_036,cfg018,18,2,168867618,success,168867618,385,,0.8838629308457865,0.8194444444444444,0.8845683434348285,0.4129726279438561,0.8504355453854034,neck_head,0.01,0.001
run_037,cfg019,19,1,1653514268,success,1653514268,244,,0.5643194189250955,0.7175925925925926,0.6315616424031484,0.3122517474341194,0.6317928707093904,neck_head,0.001,0.0
run_038,cfg019,19,2,165910233,success,165910233,244,,0.5643194189250955,0.7175925925925926,0.6315616424031484,0.3122517474341194,0.6317928707093904,neck_head,0.001,0.0
run_039,cfg020,20,1,1831431945,success,1831431945,244,,0.5671954850669857,0.7175925925925926,0.6315525068799879,0.3124132415906174,0.633591306945293,neck_head,0.001,0.001
run_040,cfg020,20,2,2106757945,success,2106757945,244,,0.5671954850669857,0.7175925925925926,0.6315525068799879,0.3124132415906174,0.633591306945293,neck_head,0.001,0.001
run_041,cfg021,21,1,1299357275,success,1299357275,101,,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,0.4758263595736501,neck_head,0.0001,0.0
run_042,cfg021,21,2,1143075214,success,1143075214,101,,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,0.4758263595736501,neck_head,0.0001,0.0
run_043,cfg022,22,1,1246201169,success,1246201169,101,,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,0.4758263595736501,neck_head,0.0001,0.001
run_044,cfg022,22,2,1781211660,success,1781211660,101,,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,0.4758263595736501,neck_head,0.0001,0.001
run_045,cfg023,23,1,1975833246,success,1975833246,101,,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,0.4753965902851878,neck_head,1e-05,0.0
run_046,cfg023,23,2,1588621844,success,1588621844,101,,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,0.4753965902851878,neck_head,1e-05,0.0
run_047,cfg024,24,1,1708213978,success,1708213978,101,,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,0.4753965902851878,neck_head,1e-05,0.001
run_048,cfg024,24,2,889908164,success,889908164,101,,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,0.4753965902851878,neck_head,1e-05,0.001
run_049,cfg025,25,1,445160372,success,445160372,334,,0.8907903794384061,0.8009259259259259,0.8838654200918263,0.4260157620799273,0.8434713399584578,backbone_frozen,0.01,0.0
run_050,cfg025,25,2,1186469439,success,1186469439,334,,0.8907903794384061,0.8009259259259259,0.8838654200918263,0.4260157620799273,0.8434713399584578,backbone_frozen,0.01,0.0
run_051,cfg026,26,1,768980278,success,768980278,385,,0.8838629308457865,0.8194444444444444,0.8845683434348285,0.4129726279438561,0.8504355453854034,backbone_frozen,0.01,0.001
run_052,cfg026,26,2,1467109414,success,1467109414,385,,0.8838629308457865,0.8194444444444444,0.8845683434348285,0.4129726279438561,0.8504355453854034,backbone_frozen,0.01,0.001
run_053,cfg027,27,1,674105666,success,674105666,244,,0.5643194189250955,0.7175925925925926,0.6315616424031484,0.3122517474341194,0.6317928707093904,backbone_frozen,0.001,0.0
run_054,cfg027,27,2,2130735894,success,2130735894,244,,0.5643194189250955,0.7175925925925926,0.6315616424031484,0.3122517474341194,0.6317928707093904,backbone_frozen,0.001,0.0
run_055,cfg028,28,1,1464515572,success,1464515572,244,,0.5671954850669857,0.7175925925925926,0.6315525068799879,0.3124132415906174,0.633591306945293,backbone_frozen,0.001,0.001
run_056,cfg028,28,2,1410092275,success,1410092275,244,,0.5671954850669857,0.7175925925925926,0.6315525068799879,0.3124132415906174,0.633591306945293,backbone_frozen,0.001,0.001
run_057,cfg029,29,1,199718977,success,199718977,101,,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,0.4758263595736501,backbone_frozen,0.0001,0.0
run_058,cfg029,29,2,300885617,success,300885617,101,,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,0.4758263595736501,backbone_frozen,0.0001,0.0
run_059,cfg030,30,1,1134900474,success,1134900474,101,,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,0.4758263595736501,backbone_frozen,0.0001,0.001
run_060,cfg030,30,2,886275922,success,886275922,101,,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,0.4758263595736501,backbone_frozen,0.0001,0.001
run_061,cfg031,31,1,1338925819,success,1338925819,101,,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,0.4753965902851878,backbone_frozen,1e-05,0.0
run_062,cfg031,31,2,547265147,success,547265147,101,,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,0.4753965902851878,backbone_frozen,1e-05,0.0
run_063,cfg032,32,1,841577050,success,841577050,101,,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,0.4753965902851878,backbone_frozen,1e-05,0.001
run_064,cfg032,32,2,1342064403,success,1342064403,101,,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,0.4753965902851878,backbone_frozen,1e-05,0.001
