config_id,combo_index,rank,n_runs,n_success,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay,map_mean,map_std,map50_mean,map50_std,mp_mean,mp_std,mr_mean,mr_std,f1_mean,f1_std
cfg015,15,25,2,2,head_and_last_stage,1e-05,0.0,0.20621729115093204,0.0,0.4100413158890988,0.0,0.46577855959361686,0.0,0.4843842362468475,0.0,0.47489923376623666,0.0
cfg016,16,26,2,2,head_and_last_stage,1e-05,0.001,0.20621729115093204,0.0,0.4100413158890988,0.0,0.46577855959361686,0.0,0.4843842362468475,0.0,0.47489923376623666,0.0
cfg017,17,2,2,2,neck_head,0.01,0.0,0.4260157620799273,0.0,0.8838654200918263,0.0,0.8907903794384061,0.0,0.8009259259259259,0.0,0.8434713399584578,0.0
cfg018,18,5,2,2,neck_head,0.01,0.001,0.4129726279438561,0.0,0.8845683434348285,0.0,0.8838629308457865,0.0,0.8194444444444444,0.0,0.8504355453854034,0.0
cfg019,19,13,2,2,neck_head,0.001,0.0,0.3122517474341194,0.0,0.6315616424031484,0.0,0.5643194189250955,0.0,0.7175925925925926,0.0,0.6317928707093904,0.0
cfg020,20,11,2,2,neck_head,0.001,0.001,0.3124132415906174,0.0,0.6315525068799879,0.0,0.5671954850669857,0.0,0.7175925925925926,0.0,0.633591306945293,0.0
cfg021,21,19,2,2,neck_head,0.0001,0.0,0.20783093322249294,0.0,0.4139496414441711,0.0,0.4650902181199394,0.0,0.4870698794761681,0.0,0.4758263595736501,0.0
cfg022,22,20,2,2,neck_head,0.0001,0.001,0.20783093322249294,0.0,0.4139496414441711,0.0,0.4650902181199394,0.0,0.4870698794761681,0.0,0.4758263595736501,0.0
cfg023,23,15,2,2,neck_head,1e-05,0.0,0.20785125869585291,0.0,0.4139744594564725,0.0,0.4647958816304735,0.0,0.4864921303721515,0.0,0.4753965902851878,0.0
cfg024,24,16,2,2,neck_head,1e-05,0.001,0.20785125869585291,0.0,0.4139744594564725,0.0,0.4647958816304735,0.0,0.4864921303721515,0.0,0.4753965902851878,0.0
cfg025,25,3,2,2,backbone_frozen,0.01,0.0,0.4260157620799273,0.0,0.8838654200918263,0.0,0.8907903794384061,0.0,0.8009259259259259,0.0,0.8434713399584578,0.0
cfg026,26,6,2,2,backbone_frozen,0.01,0.001,0.4129726279438561,0.0,0.8845683434348285,0.0,0.8838629308457865,0.0,0.8194444444444444,0.0,0.8504355453854034,0.0
cfg027,27,14,2,2,backbone_frozen,0.001,0.0,0.3122517474341194,0.0,0.6315616424031484,0.0,0.5643194189250955,0.0,0.7175925925925926,0.0,0.6317928707093904,0.0
cfg028,28,12,2,2,backbone_frozen,0.001,0.001,0.3124132415906174,0.0,0.6315525068799879,0.0,0.5671954850669857,0.0,0.7175925925925926,0.0,0.633591306945293,0.0
cfg029,29,21,2,2,backbone_frozen,0.0001,0.0,0.20783093322249294,0.0,0.4139496414441711,0.0,0.4650902181199394,0.0,0.4870698794761681,0.0,0.4758263595736501,0.0
cfg030,30,22,2,2,backbone_frozen,0.0001,0.001,0.20783093322249294,0.0,0.4139496414441711,0.0,0.4650902181199394,0.0,0.4870698794761681,0.0,0.4758263595736501,0.0
cfg031,31,17,2,2,backbone_frozen,1e-05,0.0,0.20785125869585291,0.0,0.4139744594564725,0.0,0.4647958816304735,0.0,0.4864921303721515,0.0,0.4753965902851878,0.0
cfg032,32,18,2,2,backbone_frozen,1e-05,0.001,0.20785125869585291,0.0,0.4139744594564725,0.0,0.4647958816304735,0.0,0.4864921303721515,0.0,0.4753965902851878,0.0
