run_id,combo_index,seed_repeat,training_params.seed,mp,mr,map50,map,output_dir,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay
run_045,23,1,1975833246,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_045,neck_head,1e-05,0.0
run_046,23,2,1588621844,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_046,neck_head,1e-05,0.0
run_047,24,1,1708213978,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_047,neck_head,1e-05,0.001
run_048,24,2,889908164,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_048,neck_head,1e-05,0.001
run_049,25,1,445160372,0.8907903794384061,0.8009259259259259,0.8838654200918263,0.4260157620799273,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_049,backbone_frozen,0.01,0.0
run_050,25,2,1186469439,0.8907903794384061,0.8009259259259259,0.8838654200918263,0.4260157620799273,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_050,backbone_frozen,0.01,0.0
run_051,26,1,768980278,0.8838629308457865,0.8194444444444444,0.8845683434348285,0.4129726279438561,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_051,backbone_frozen,0.01,0.001
run_052,26,2,1467109414,0.8838629308457865,0.8194444444444444,0.8845683434348285,0.4129726279438561,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_052,backbone_frozen,0.01,0.001
run_053,27,1,674105666,0.5643194189250955,0.7175925925925926,0.6315616424031484,0.3122517474341194,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_053,backbone_frozen,0.001,0.0
run_054,27,2,2130735894,0.5643194189250955,0.7175925925925926,0.6315616424031484,0.3122517474341194,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_054,backbone_frozen,0.001,0.0
run_055,28,1,1464515572,0.5671954850669857,0.7175925925925926,0.6315525068799879,0.3124132415906174,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_055,backbone_frozen,0.001,0.001
run_056,28,2,1410092275,0.5671954850669857,0.7175925925925926,0.6315525068799879,0.3124132415906174,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_056,backbone_frozen,0.001,0.001
run_057,29,1,199718977,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_057,backbone_frozen,0.0001,0.0
run_058,29,2,300885617,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_058,backbone_frozen,0.0001,0.0
run_059,30,1,1134900474,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_059,backbone_frozen,0.0001,0.001
run_060,30,2,886275922,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_060,backbone_frozen,0.0001,0.001
run_061,31,1,1338925819,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_061,backbone_frozen,1e-05,0.0
run_062,31,2,547265147,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_062,backbone_frozen,1e-05,0.0
run_063,32,1,841577050,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_063,backbone_frozen,1e-05,0.001
run_064,32,2,1342064403,0.4647958816304735,0.4864921303721515,0.4139744594564725,0.20785125869585291,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_064,backbone_frozen,1e-05,0.001
