run_id,config_id,combo_index,seed_repeat,seed,status,training_params.seed,best_epoch,best_step,mp,mr,map50,map,f1,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay
run_022,cfg011,11,2,927996137,success,927996137,0,,0.02756892230576441,0.35106382978723405,0.03213224379312653,0.008501043029635492,0.05112316034082107,head_and_last_stage,0.001,0.0
run_023,cfg012,12,1,394618681,success,394618681,0,,0.03153153153153153,0.2978723404255319,0.028693621825722954,0.00788938245462292,0.057026476578411395,head_and_last_stage,0.001,0.01
run_024,cfg012,12,2,1505570604,success,1505570604,0,,0.03463203463203463,0.2553191489361702,0.02570954919188489,0.007788116495127807,0.060991105463786534,head_and_last_stage,0.001,0.01
run_025,cfg013,13,1,1875900281,success,1875900281,0,,0.020283199387677,0.5638297872340425,0.07978992099323926,0.028670427308574765,0.039157739194680456,backbone_frozen,0.01,0.0
run_026,cfg013,13,2,1086260170,success,1086260170,0,,0.5007219486377601,0.3841000478841805,0.37792400637299167,0.17800404464048872,0.4347254593679278,backbone_frozen,0.01,0.0
run_027,cfg014,14,1,665031819,success,665031819,0,,0.01418859000886787,0.5106382978723404,0.08031346409666697,0.02792754107188104,0.027610008628127698,backbone_frozen,0.01,0.01
run_028,cfg014,14,2,25939907,success,25939907,0,,0.05035393484544485,0.44680851063829785,0.09906352880059659,0.031621129453802486,0.09050790878293243,backbone_frozen,0.01,0.01
run_029,cfg015,15,1,1149819764,success,1149819764,0,,0.01957713390759593,0.5319148936170213,0.09019632372895353,0.033365511395642485,0.0377643504531722,backbone_frozen,0.005,0.0
run_030,cfg015,15,2,1878943933,success,1878943933,0,,0.45712838466046396,0.2978723404255319,0.2614122917315774,0.12174410163466506,0.3607040292530731,backbone_frozen,0.005,0.0
run_031,cfg016,16,1,1417168284,success,1417168284,0,,0.020045385779122543,0.5638297872340425,0.1013367398009398,0.0375914216886716,0.03871439006574142,backbone_frozen,0.005,0.01
run_032,cfg016,16,2,1260138095,success,1260138095,0,,0.019975540154912354,0.5212765957446809,0.07925984550390666,0.03246406428812639,0.03847663918335297,backbone_frozen,0.005,0.01
